date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:35:12	45221/45221	---M--	200	added ('OK')	text/html	date:Wed,%2029%20May%202024%2013:28:32%20GMT	https://html.designingmedia.com/energox/about.html	E:/CTDL/Bai_Tap/muontheme/html.designingmedia.com/energox/about.html	(from )
22:35:13	355/355	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Mar%202026%2015:35:21%20GMT	https://html.designingmedia.com/robots.txt		(from )
22:35:13	3231/3231	---M--	200	added ('OK')	image/png	date:Thu,%2016%20May%202024%2008:21:18%20GMT	https://html.designingmedia.com/energox/assets/images/favicon/apple-icon-57x57.png	E:/CTDL/Bai_Tap/muontheme/html.designingmedia.com/energox/assets/images/favicon/apple-icon-57x57.png	(from https://html.designingmedia.com/energox/about.html)
22:35:14	3377/3377	---M--	200	added ('OK')	image/png	date:Thu,%2016%20May%202024%2008:21:18%20GMT	https://html.designingmedia.com/energox/assets/images/favicon/apple-icon-60x60.png	E:/CTDL/Bai_Tap/muontheme/html.designingmedia.com/energox/assets/images/favicon/apple-icon-60x60.png	(from https://html.designingmedia.com/energox/about.html)
22:35:14	3821/3821	---M--	200	added ('OK')	image/png	date:Thu,%2016%20May%202024%2008:21:18%20GMT	https://html.designingmedia.com/energox/assets/images/favicon/apple-icon-72x72.png	E:/CTDL/Bai_Tap/muontheme/html.designingmedia.com/energox/assets/images/favicon/apple-icon-72x72.png	(from https://html.designingmedia.com/energox/about.html)
22:35:14	4105/4105	---M--	200	added ('OK')	image/png	date:Thu,%2016%20May%202024%2008:21:18%20GMT	https://html.designingmedia.com/energox/assets/images/favicon/apple-icon-76x76.png	E:/CTDL/Bai_Tap/muontheme/html.designingmedia.com/energox/assets/images/favicon/apple-icon-76x76.png	(from https://html.designingmedia.com/energox/about.html)
22:35:15	6684/6684	---M--	200	added ('OK')	image/png	date:Thu,%2016%20May%202024%2008:21:18%20GMT	https://html.designingmedia.com/energox/assets/images/favicon/apple-icon-114x114.png	E:/CTDL/Bai_Tap/muontheme/html.designingmedia.com/energox/assets/images/favicon/apple-icon-114x114.png	(from https://html.designingmedia.com/energox/about.html)
22:35:15	7053/7053	---M--	200	added ('OK')	image/png	date:Thu,%2016%20May%202024%2008:21:18%20GMT	https://html.designingmedia.com/energox/assets/images/favicon/apple-icon-120x120.png	E:/CTDL/Bai_Tap/muontheme/html.designingmedia.com/energox/assets/images/favicon/apple-icon-120x120.png	(from https://html.designingmedia.com/energox/about.html)
22:35:15	8919/8919	---M--	200	added ('OK')	image/png	date:Thu,%2016%20May%202024%2008:21:18%20GMT	https://html.designingmedia.com/energox/assets/images/favicon/apple-icon-144x144.png	E:/CTDL/Bai_Tap/muontheme/html.designingmedia.com/energox/assets/images/favicon/apple-icon-144x144.png	(from https://html.designingmedia.com/energox/about.html)
22:35:16	9516/9516	---M--	200	added ('OK')	image/png	date:Thu,%2016%20May%202024%2008:21:18%20GMT	https://html.designingmedia.com/energox/assets/images/favicon/apple-icon-152x152.png	E:/CTDL/Bai_Tap/muontheme/html.designingmedia.com/energox/assets/images/favicon/apple-icon-152x152.png	(from https://html.designingmedia.com/energox/about.html)
22:35:16	11730/11730	---M--	200	added ('OK')	image/png	date:Thu,%2016%20May%202024%2008:21:18%20GMT	https://html.designingmedia.com/energox/assets/images/favicon/apple-icon-180x180.png	E:/CTDL/Bai_Tap/muontheme/html.designingmedia.com/energox/assets/images/favicon/apple-icon-180x180.png	(from https://html.designingmedia.com/energox/about.html)
22:35:16	11624/11624	---M--	200	added ('OK')	image/png	date:Thu,%2016%20May%202024%2008:21:18%20GMT	https://html.designingmedia.com/energox/assets/images/favicon/android-icon-192x192.png	E:/CTDL/Bai_Tap/muontheme/html.designingmedia.com/energox/assets/images/favicon/android-icon-192x192.png	(from https://html.designingmedia.com/energox/about.html)
22:35:16	2031/2031	---M--	200	added ('OK')	image/png	date:Thu,%2016%20May%202024%2008:21:18%20GMT	https://html.designingmedia.com/energox/assets/images/favicon/favicon-32x32.png	E:/CTDL/Bai_Tap/muontheme/html.designingmedia.com/energox/assets/images/favicon/favicon-32x32.png	(from https://html.designingmedia.com/energox/about.html)
